Type of catalyst,Catalyst,Si/Al,"M/Al (ie Sn, Cu..)",Lewis/Brosnted _acid_Sites,Surface_area_(m2/g)_BET,max_diameter_sphere_diffusing(A),Accessible_Volume(A^3),Avg_pore_diameter(nm),V(pore)_(cm3/g),V(mic)_(cm3/g),V(mesopore)_(cm3/g),TPD_(NH3)_(micmol/g),Mass_Cat_(g),Volume_(ml),Substrate_amount,catalyst_substrate_loading,Solvent_system,Phase_1,Phase_2,phase_2/phase_1,Total_dipole_moment(D),Temperature ( °C),Time (min),Fructose Conversion,HMF Selectivity,HMF Yield,time_rate(min),intial concentration(M),Conversion_rate ,Selectivity_rate ,initial_rate(mol/(L.min)),rate_constant(1/min),b ,normalized_constant
Protonated Zeolites,H-MOR,11.7,0,N/A,461,6.45,347,0.59,NA,0.21,N/A,1100,4,300,20,0.2,Biphasic,Water,MIBK,3,2.5625,165,250,79,66,53,60,0.37,30,90,0.001665,0.0045,0.005249344,0.86
Protonated Zeolites,H-MOR,11.7,0,N/A,461,6.45,347,0.59,NA,0.21,N/A,1100,4,300,20,0.2,Single Phase,Water,NA,0,1.85,165,425,85,40,34,60,0.37,25,25,0.000385417,0.001041667,0.005249344,0.2
Protonated Zeolites,H-ZSM-5,13,0,N/A,442,4.7,511,0.55,NA,0.18,N/A,966,4,300,20,0.2,Biphasic,Water,MIBK,3,2.5625,165,110,76,59,45,60,0.37,28,75,0.001295,0.0035,0.004761905,0.74
Protonated Zeolites,H-ZSM-5,13,0,N/A,442,4.7,511,0.55,NA,0.18,N/A,966,4,300,20,0.2,Single phase,Water,NA,0,1.85,165,100,76,25,20,60,0.37,38,26,0.000609267,0.001646667,0.004761905,0.35
Protonated Zeolites,H-BEA,15.6,0,N/A,610,5.95,856.5,0.67,NA,0.22,N/A,860,4,300,20,0.2,Biphasic,Water,MIBK,3,2.5625,165,350,83,35,30,70,0.37,22,60,0.000697714,0.001885714,0.004016064,0.47
Protonated Zeolites,H-BEA,15.6,0,N/A,610,5.95,856.5,0.67,NA,0.22,N/A,860,4,300,20,0.2,Single phase,Water,NA,0,1.85,165,300,76,25,20,70,0.37,18,27,0.000256886,0.000694286,0.004016064,0.17
Protonated Zeolites,H-ZSM-5,50,0,N/A,365,4.7,511,0.55,0.236,0.144,N/A,411.3,0.08,60,0.6,0.133333333,Single phase,Water,N/A,0,1.85,130,480,58,13,8,240,0.055506217,40,10,9.25E-06,0.000166667,2.61E-05,6.38
Protonated-Hierarchical,ZSM-5 (modified) *,50,0,N/A,470,4.7,511,0.55,0.449,0.138,N/A,351.9,0.08,60,0.6,0.133333333,Single phase,Water,N/A,0,1.85,130,480,66,24,16,240,0.055506217,45,20,2.08E-05,0.000375,2.61E-05,14.34
Protonated Zeolites,H-USY,60,0,N/A,953,7.35,3953,0.74,0.647,0.359,N/A,248.6,0.08,60,0.6,0.133333333,Single phase,Water,N/A,0,1.85,130,480,73,9,7,240,0.055506217,38,5,4.39E-06,7.92E-05,2.19E-05,3.62
Protonated-Hierarchical,USY (modified) *,53,0,0.25,1219,7.35,3953,0.74,1.301,0.289,N/A,226.9,0.08,60,0.6,0.133333333,Single phase,Water,N/A,0,1.85,130,480,75,15,11,240,0.055506217,55,7,8.90E-06,0.000160417,2.47E-05,6.5
