Type of catalyst,Catalyst ,Si/Al,"M/Al (ie Sn, Cu..)",Lewis/Brosnted  acid Sites,Surface area (m2/g) BET,Avg_pore_diameter(nm),V(pore) (cm3/g),V(mic) (cm3/g),V(mesopore) (cm3/g),TPD (NH3) (micmol/g),Substrate,"Catalyst/Substrate loading
",Solvent system,phase_1,phase_2,phase_2/phase_1,organic solvent,Total dipole moment(D),Organic dipole,Flow/Batch,Heating,Temperature ( °C),Time (min),HMF Yield,Fructose Conversion,HMF Selectivity,
Protonated Zeolites,H-MOR,11.7,0,N/A,461,0.59,N/A,0.21,N/A,1100,Fructose,0.2,Biphasic,Water,MIBK,3,1,10.295,13.11,Batch,Conventional,165,250,53,79,66,
Protonated Zeolites,H-MOR,11.7,0,N/A,461,0.59,N/A,0.21,N/A,1100,Fructose,0.2,Single Phase,Water,N/A,0,0,1.85,0,Batch,Conventional,165,425,34,85,40,
Protonated Zeolites,H-ZSM-5,13,0,N/A,442,0.55,N/A,0.18,N/A,966,Fructose,0.2,Biphasic,Water,MIBK,3,1,10.295,13.11,Batch,Conventional,165,110,45,76,59,
Protonated Zeolites,H-ZSM-5,13,0,N/A,442,0.55,N/A,0.18,N/A,966,Fructose,0.2,Single phase,Water,N/A,0,0,1.85,0,Batch,Conventional,165,100,20,76,25,
Protonated Zeolites,H-BEA,15.6,0,N/A,610,0.67,N/A,0.22,N/A,860,Fructose,0.2,Biphasic,Water,MIBK,3,1,10.295,13.11,Batch,Conventional,165,350,30,83,35,
Protonated Zeolites,H-BEA,15.6,0,N/A,610,0.67,N/A,0.22,N/A,860,Fructose,0.2,Single phase,Water,N/A,0,0,1.85,0,Batch,Conventional,165,300,20,76,25,
Protonated Zeolites,H-ZSM-5,50,0,N/A,365,0.55,0.236,0.144,0.085,411.3,Fructose,0.133333333,Single phase,Water,N/A,0,0,1.85,0,Batch,Conventional,130,480,8,58,13,
Protonated-Hierarchical,ZSM-5 (modified),50,0,N/A,470,0.55,0.449,0.138,0.389,351.9,Fructose,0.133333333,Single phase,Water,N/A,0,0,1.85,0,Batch,Conventional,130,480,16,66,24,
Protonated Zeolites,H-USY,60,0,N/A,953,0.74,0.647,0.359,0.257,248.6,Fructose,0.133333333,Single phase,Water,N/A,0,0,1.85,0,Batch,Conventional,130,480,7,73,9,
Protonated-Hierarchical,USY (modified) ,53,0,N/A,1219,0.74,1.301,0.289,0.991,226.9,Fructose,0.133333333,Single phase,Water,N/A,0,0,1.85,0,Batch,Conventional,130,480,11,75,15,
Protonated Zeolites,H-BEA,25,0,N/A,637,0.67,0.748,0.199,0.531,426.3,Fructose,0.133333333,Single phase,Water,N/A,0,0,1.85,0,Batch,Conventional,130,480,5,56,9,
Protonated-Hierarchical,BEA(modified) ,21,0,N/A,751,0.67,1.127,0.19,0.902,365.2,Fructose,0.133333333,Single phase,Water,N/A,0,0,1.85,0,Batch,Conventional,130,480,8,65,12,
Protonated Zeolites,H-ZSM-5,18.9,0,0.25,404,0.55,0.301,0.16,N/A,1259,Fructose,0.333333333,Biphasic,NaCl (aq),MIBK,2.333333333,1,2.53,2.8,Batch,Conventional,195,30,49,100,49,
Protonated Zeolite,H-USY,10.24,0,N/A,N/A,0.74,N/A,N/A,N/A,860,Fructose,1,Biphasic,Water,MIBK,10,1,2.713636364,2.8,Batch,Conventional,120,300,32,83,69,
Transition Metal Zeolite,USY (modified) *,25.9,0.014,N/A,N/A,0.74,N/A,N/A,N/A,270,Fructose,1,Biphasic,Water ,MIBK,10,1,2.713636364,2.8,Batch,Conventional,120,300,65,73,89,
Transition Metal Zeolite,USY (modified) *,26.9,0.016,N/A,N/A,0.74,N/A,N/A,N/A,580,Fructose ,1,Biphasic,Water,MIBK,10,1,2.713636364,2.8,Batch,Conventional,120,300,41,51,80,
Transition Metal Zeolite,USY (modified) *,31,0.42,N/A,N/A,0.74,N/A,N/A,N/A,980,Fructose,1,Biphasic,Water,MIBK,10,1,2.713636364,2.8,Batch,Conventional,120,300,41,47,87,
Transition Metal Zeolite,USY (modified) *,33,0.0136,N/A,N/A,0.74,N/A,N/A,N/A,310,Fructose,1,Biphasic,Water,MIBK,10,1,2.713636364,2.8,Batch,Conventional,120,300,30,35,85,
Transition Metal Zeolite,USY (modified) *,26.37,0.011,N/A,N/A,0.74,N/A,N/A,N/A,180,Fructose,1,Biphasic,Water,MIBK,10,1,2.713636364,2.8,Batch,Conventional,120,300,22,25,88,
